UNIT,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,date
DAY,1690761600,24.2426792429256,24.7475103223965,23.6164785341731,23.7046743338713,2023-07-31
DAY,1690848000,23.7046743338713,24.0113755437685,22.9605541654497,24.0113755437685,2023-08-01
DAY,1690934400,24.0113755437685,24.2061168395512,22.9440490528541,23.123464666058,2023-08-02
DAY,1691020800,23.123464666058,23.3399995298033,22.4954959808987,22.6129658838556,2023-08-03
DAY,1691107200,22.6129658838556,23.5304936143908,22.4747517062005,22.7785799415926,2023-08-04
DAY,1691193600,22.7785799415926,22.90928968255,22.2913509889202,22.6337275112377,2023-08-05
DAY,1691280000,22.6337275112377,23.4098170793675,22.5722113216847,23.1695480588051,2023-08-06
DAY,1691366400,23.1695480588051,23.5365088158595,22.4048901092467,23.087346043762,2023-08-07
DAY,1691452800,23.087346043762,24.6957162116207,22.9936385406618,24.1957846424738,2023-08-08
DAY,1691539200,24.1957846424738,24.955506460895,24.1265421438504,24.3581353646159,2023-08-09
DAY,1691625600,24.3581353646159,24.8163762292137,24.1048833580966,24.5754960505234,2023-08-10
DAY,1691712000,24.5754960505234,24.8507278091911,24.3219357681337,24.5847208541982,2023-08-11
DAY,1691798400,24.5847208541982,25.1370572187831,24.3724844839741,24.8822655902097,2023-08-12
DAY,1691884800,24.8822655902097,24.9045390875073,24.1904042200131,24.2007427285094,2023-08-13
DAY,1691971200,24.2007427285094,25.2306289664619,24.05550397025,25.14098276874,2023-08-14
DAY,1692057600,25.14098276874,25.2449421048994,23.7144540749139,23.8723932438051,2023-08-15
DAY,1692144000,23.8723932438051,23.9748272570055,22.3927616497129,22.7865882979392,2023-08-16
DAY,1692230400,22.7865882979392,23.3891898381154,20.285513118764,21.690181925336,2023-08-17
DAY,1692316800,21.690181925336,22.1802276499812,21.0195612323224,21.3654658660761,2023-08-18
DAY,1692403200,21.3654658660761,22.1702170970645,21.3371804533519,21.9186355021326,2023-08-19
DAY,1692489600,21.9186355021326,22.0359723334236,21.6195903545719,21.7855581527644,2023-08-20
DAY,1692576000,21.7855581527644,21.7855581527644,20.4944697319954,21.2041530149084,2023-08-21
DAY,1692662400,21.2041530149084,21.2657621302771,19.6207952187015,20.5773525876167,2023-08-22
DAY,1692748800,20.5773525876167,21.7685977483488,20.4537082586796,21.7401336197835,2023-08-23
DAY,1692835200,21.7401336197835,22.0120732599023,20.7274688127357,21.0585733795391,2023-08-24
DAY,1692921600,21.0585733795391,21.0585733795391,20.1264898797939,20.4340982236856,2023-08-25
DAY,1693008000,20.4340982236856,20.4365428088607,20.2186706521537,20.2992305000622,2023-08-26
DAY,1693094400,20.2992305000622,20.9215665034668,20.2639911406094,20.8075845078987,2023-08-27
DAY,1693180800,20.8075845078987,20.8075845078987,20.122384570844,20.5642918208578,2023-08-28
DAY,1693267200,20.5642918208578,21.986194467999,20.1345775234033,21.8044334862603,2023-08-29
DAY,1693353600,21.8044334862603,21.9784844658639,20.6341657443205,20.8368982891187,2023-08-30
DAY,1693440000,20.8368982891187,21.0191234563726,19.5112060753055,19.7520872734062,2023-08-31
DAY,1693526400,19.7520872734062,19.9340310045002,19.0883215517386,19.3523944949494,2023-09-01
DAY,1693612800,19.3523944949494,19.6887158026484,19.1777891820747,19.5149648497947,2023-09-02
DAY,1693699200,19.5149648497947,19.6761826522022,19.2793952824525,19.5752274384872,2023-09-03
DAY,1693785600,19.5752274384872,19.9649207032076,19.2439994200631,19.5233914865637,2023-09-04
DAY,1693872000,19.5233914865637,20.5968987309822,19.0744240646618,20.2841439265717,2023-09-05
DAY,1693958400,20.2841439265717,20.3721237098906,19.1960908778066,19.6368405874139,2023-09-06
DAY,1694044800,19.6368405874139,19.9838236299422,19.3470425705843,19.9204877848977,2023-09-07
DAY,1694131200,19.9204877848977,20.2481535590108,19.4026936956694,19.6149492991638,2023-09-08
DAY,1694217600,19.6149492991638,19.6149492991638,19.3977705286163,19.4512862874278,2023-09-09
DAY,1694304000,19.4512862874278,19.4528942469018,17.8678353247228,18.2448737467032,2023-09-10
DAY,1694390400,18.2448737467032,18.4661047444005,17.4628230565732,17.7575530709583,2023-09-11
DAY,1694476800,17.7575530709583,18.7190090214244,17.6182005513968,17.9344317400674,2023-09-12
DAY,1694563200,17.9344317400674,18.532796222337,17.7163619320086,18.4005766136492,2023-09-13
DAY,1694649600,18.4005766136492,19.2843507983629,18.392264439348,18.8660115694278,2023-09-14
DAY,1694736000,18.8660115694278,19.4234926286556,18.5900015951226,19.1514191304118,2023-09-15
DAY,1694822400,19.1514191304118,19.4225697578536,18.9055397203559,19.1457246518172,2023-09-16
DAY,1694908800,19.1457246518172,19.1465753482273,18.6965900417311,18.8092166581771,2023-09-17
DAY,1694995200,18.8092166581771,20.116175537066,18.6358472344498,19.6570856747235,2023-09-18
DAY,1695081600,19.6570856747235,20.3715140277992,19.5915395155272,20.0287639782426,2023-09-19
DAY,1695168000,20.0287639782426,20.4921364972138,19.8158142853798,20.2908972222289,2023-09-20
DAY,1695254400,20.2908972222289,20.2908972222289,19.317290099479,19.4550514056343,2023-09-21
DAY,1695340800,19.4550514056343,19.7692391217311,19.1986670793743,19.4327810762365,2023-09-22
DAY,1695427200,19.4327810762365,19.5712784168504,19.3060830487509,19.4923500819907,2023-09-23
DAY,1695513600,19.4923500819907,19.6675754020654,19.3051853995979,19.3884510159922,2023-09-24
DAY,1695600000,19.3884510159922,19.7198170387139,19.1681813489257,19.3878760499846,2023-09-25
DAY,1695686400,19.3878760499846,19.4940803050307,18.91703814355,19.0124276403447,2023-09-26
DAY,1695772800,19.0124276403447,19.4489428483745,18.7593604851556,19.1207224488908,2023-09-27
DAY,1695859200,19.1207224488908,19.9583754460177,19.0957446868481,19.9579040392866,2023-09-28
DAY,1695945600,19.9579040392866,20.4137246037469,19.8461679997569,20.2692368538358,2023-09-29
DAY,1696032000,20.2692368538358,21.7501389247229,20.0948888739498,21.3647470306624,2023-09-30
DAY,1696118400,21.3647470306624,24.3790400060372,21.1406157939597,23.8545679234145,2023-10-01
DAY,1696204800,23.8545679234145,24.598045994784,22.9497994929331,23.3709685481606,2023-10-02
DAY,1696291200,23.3709685481606,24.7058436962772,23.2642879585474,23.5831843682297,2023-10-03
DAY,1696377600,23.5831843682297,23.7568691366605,22.637503782059,23.1246787511715,2023-10-04
DAY,1696464000,23.1246787511715,23.7137618046158,22.5944988976732,22.6929007809307,2023-10-05
DAY,1696550400,22.6929007809307,23.7428526636315,22.6929007809307,23.414519609715,2023-10-06
DAY,1696636800,23.414519609715,24.1433264604781,23.1123695024331,23.3109435289549,2023-10-07
DAY,1696723200,23.3109435289549,23.6276442906219,23.1231314913338,23.2431818573821,2023-10-08
DAY,1696809600,23.2431818573821,23.369952536726,21.8073435384885,22.1114629696366,2023-10-09
DAY,1696896000,22.1114629696366,22.4844307369843,21.7238483301729,22.1226854469786,2023-10-10
DAY,1696982400,22.1226854469786,22.4206989302479,21.6584337121031,22.0332460955894,2023-10-11
DAY,1697068800,22.0332460955894,22.0425656467284,21.0413853015212,21.3036510365169,2023-10-12
DAY,1697155200,21.3036510365169,22.1735494463517,21.1343588730869,21.8596984571175,2023-10-13
DAY,1697241600,21.8596984571175,22.2304014915794,21.8264032534988,22.0117327910023,2023-10-14
DAY,1697328000,22.0117327910023,22.1698193892109,21.6951147892075,21.9403136603703,2023-10-15
DAY,1697414400,21.9403136603703,24.5586110722121,21.9220457534536,23.9683002062646,2023-10-16
DAY,1697500800,23.9683002062646,24.5206677376687,23.5770179015206,23.9440736236078,2023-10-17
DAY,1697587200,23.9440736236078,24.3511806170966,23.4079972495104,23.4301373482844,2023-10-18
DAY,1697673600,23.4301373482844,25.4102614687669,23.2066783960291,24.9334525113657,2023-10-19
DAY,1697760000,24.9334525113657,27.3953127321922,24.7573328730577,27.0414644577466,2023-10-20
DAY,1697846400,27.0414644577466,30.1568507980718,26.6783190811454,29.3265968733668,2023-10-21
DAY,1697932800,29.3265968733668,29.9761998713296,28.1257893167735,29.0346346216889,2023-10-22
DAY,1698019200,29.0346346216889,32.7399249284187,28.7903942139217,31.8752021562387,2023-10-23
DAY,1698105600,31.8752021562387,32.4296851922694,29.5771211235631,30.165215921255,2023-10-24
DAY,1698192000,30.165215921255,33.7410829300592,30.0046765939634,32.416326191,2023-10-25
DAY,1698278400,32.416326191,33.2086049431494,30.7783308791048,32.758888923615,2023-10-26
DAY,1698364800,32.758888923615,33.2780858355394,31.4612690635459,31.7269649539508,2023-10-27
DAY,1698451200,31.7269649539508,32.4838819719626,31.4628797189651,31.6443251673501,2023-10-28
DAY,1698537600,31.6443251673501,33.1264009914382,31.4068095137454,32.8220880230641,2023-10-29
DAY,1698624000,32.8220880230641,35.1913447658125,32.41605228873,34.9569812537052,2023-10-30
DAY,1698710400,34.9569812537052,38.585715989591,34.8599986984185,38.4137074100967,2023-10-31
DAY,1698796800,38.4137074100967,46.4013600038145,37.9507934304505,41.1795820515698,2023-11-01
DAY,1698883200,41.1795820515698,44.6198447608843,38.8747692159016,40.4234108030968,2023-11-02
